           mu_1     mu_2     mu_3 loglihood
 [1,] 0.2721218 4.976392 8.901088 -291.3344
 [2,] 2.0836588 4.754314 7.740334 -244.3301
 [3,] 2.6465724 4.807048 7.402670 -244.3954
 [4,] 2.8844902 4.851364 7.305957 -246.4814
 [5,] 2.9972647 4.880884 7.282972 -247.6411
 [6,] 3.0520851 4.900606 7.281772 -248.1853
 [7,] 3.0791932 4.913949 7.285562 -248.4293
 [8,] 3.0928585 4.922997 7.289465 -248.5372
 [9,] 3.0999045 4.929090 7.292425 -248.5845
[10,] 3.1036308 4.933149 7.294460 -248.6051
[11,] 3.1056553 4.935826 7.295803 -248.6140
[12,] 3.1067851 4.937576 7.296673 -248.6178
[13,] 3.1074319 4.938712 7.297231 -248.6193
[14,] 3.1078105 4.939445 7.297589 -248.6199

       x_i       P(cls 1 | x_i) P(cls 2 | x_i) P(cls 3 | x_i)
  [1,] 4.60956   0.2494961      0.7297171      0.02078682    
  [2,] 3.361468  0.7705349      0.2291211      0.0003439468  
  [3,] 7.920092  1.120141e-05   0.01408601     0.9859028     
  [4,] 3.114587  0.8407999      0.1590667      0.0001334036  
  [5,] 4.483039  0.2968402      0.6886043      0.01455556    
  [6,] 8.457659  1.189982e-06   0.00400565     0.9959932     
  [7,] 5.509584  0.05044376     0.7670771      0.1824791     
  [8,] 3.36775   0.7684902      0.2311576      0.0003521827  
  [9,] 5.539863  0.04721318     0.758893       0.1938938     
 [10,] 5.02932   0.1283177      0.8096233      0.06205897    
 [11,] 3.94592   0.5340458      0.4631953      0.002758952   
 [12,] 6.961279  0.0005547141   0.12047        0.8789753     
 [13,] 7.968571  9.15637e-06    0.01258351     0.9874073     
 [14,] 3.079839  0.849144       0.1507395      0.000116474   
 [15,] 2.257267  0.9621382      0.0378576      4.204699e-06  
 [16,] 4.623872  0.2444441      0.7339314      0.02162453    
 [17,] 8.014008  7.578825e-06   0.01131943     0.988673      
 [18,] 6.852976  0.000843414    0.15021        0.8489466     
 [19,] 3.083171  0.8483598      0.1515222      0.0001180022  
 [20,] 4.885811  0.1635005      0.7931573      0.04334211    
 [21,] 5.002581  0.1344025      0.8074846      0.05811289    
 [22,] 6.397782  0.004388972    0.339569       0.656042      
 [23,] 7.401784  9.504734e-05   0.04625487     0.9536501     
 [24,] 5.01157   0.1323335      0.8082523      0.05941426    
 [25,] 1.998335  0.9760964      0.02390212     1.441581e-06  
 [26,] 4.261575  0.3897667      0.6026766      0.007556771   
 [27,] 2.92937   0.881189       0.1187467      6.434627e-05  
 [28,] 5.301287  0.07755066     0.8052366      0.1172128     
 [29,] 5.011753  0.1322916      0.8082674      0.05944104    
 [30,] 7.146894  0.0002663272   0.08125981     0.9184739     
 [31,] 7.65909   3.30378e-05    0.02575769     0.9742093     
 [32,] 8.460958  1.173685e-06   0.003974735    0.9960241     
 [33,] 7.134327  0.000280037    0.08349862     0.9162213     
 [34,] 8.311028  2.19599e-06    0.00565097     0.9943468     
 [35,] 2.728789  0.914615       0.08535617     2.882148e-05  
 [36,] 4.81406   0.1834886      0.7805         0.03601145    
 [37,] 4.063154  0.4799555      0.5159924      0.004052164   
 [38,] 2.996083  0.8677778      0.1321384      8.380197e-05  
 [39,] 8.071016  5.977102e-06   0.009909711    0.9900843     
 [40,] 2.822755  0.9001721      0.09978589     4.205173e-05  
 [41,] 5.594084  0.04183001     0.7425692      0.2156008     
 [42,] 8.354624  1.830393e-06   0.005101709    0.9948965     
 [43,] 5.359819  0.0690136      0.7976872      0.1332992     
 [44,] 6.945973  0.0005888255   0.1243427      0.8750685     
 [45,] 2.269312  0.9613261      0.03866944     4.418608e-06  
 [46,] 3.9247    0.5437749      0.4536549      0.002570245   
 [47,] 4.692931  0.2209729      0.7529196      0.02610746    
 [48,] 7.651117  3.414325e-05   0.02623366     0.9737322     
 [49,] 4.254662  0.3928303      0.599771       0.007398735   
 [50,] 6.338407  0.005348995    0.371199       0.623452      
 [51,] 6.36519   0.004895214    0.3567885      0.6383163     
 [52,] 5.976274  0.01604845     0.5737223      0.4102292     
 [53,] 3.066303  0.8522957      0.1475939      0.0001104606  
 [54,] 4.100678  0.462652       0.5327769      0.00457107    
 [55,] 4.869543  0.1678893      0.7905376      0.04157313    
 [56,] 4.22739   0.404989       0.5882069      0.006804132   
 [57,] 6.170387  0.009118847    0.465178       0.5257031     
 [58,] 4.847476  0.1739763      0.7867478      0.03927586    
 [59,] 6.389916  0.004506717    0.343691       0.6518023     
 [60,] 2.906986  0.8854176      0.1145235      5.88671e-05   
 [61,] 3.608989  0.6806539      0.318489       0.0008570658  
 [62,] 4.976392  0.1405677      0.8049699      0.05446236    
 [63,] 1.408297  0.9917586      0.008241238    1.236287e-07  
 [64,] 4.737943  0.2064928      0.7640471      0.0294601     
 [65,] 8.901088  1.861262e-07   0.001411478    0.9985883     
 [66,] 2.612456  0.9298569      0.07012507     1.79976e-05   
 [67,] 2.186266  0.9666017      0.03339518     3.137264e-06  
 [68,] 5.56014   0.04514081     0.7530379      0.2018213     
 [69,] 5.90902   0.01927116     0.6090854      0.3716434     
 [70,] 2.650322  0.9251945      0.07478448     2.098613e-05  
